"oem","model","network_technology","network_2g_bands","network_3g_bands","network_4g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_build","body_sim","display_type","display_size","display_resolution","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","memory_�","main_camera_single","main_camera_features","main_camera_video","selfie_camera_single","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_radio","comms_usb","features_sensors","battery_�","misc_colors","misc_models","misc_sar","misc_price","network_�","network_5g_bands","display_protection","main_camera_quad","selfie_camera_features","comms_nfc","features_�","battery_charging","main_camera_triple","body_�","sound_�","misc_sar_eu","display_�","selfie_camera_dual","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_battery_life","main_camera_dual","tests_audio_quality","camera_�","network_gprs","network_edge","main_camera_�","selfie_camera_triple","battery_stand-by","battery_talk_time","battery_music_play","comms_infrared_port","selfie_camera_�","memory_phonebook","memory_call_records","features_messaging","features_games","features_java","body_keyboard","features_browser","sound_alert_types","features_clock","features_alarm","features_languages"
"Samsung","Galaxy Mini S5570","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 900 / 2100",,"HSPA 7.2/0.384 Mbps","2011, January. Released 2011, February","Discontinued","110.4 x 60.8 x 12.1 mm (4.35 x 2.39 x 0.48 in)","105 g (3.70 oz)",,"Mini-SIM","TFT capacitive touchscreen, 256K colors","3.14 inches, 30.5 cm (~45.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~127 ppi density)","Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread); TouchWiz UI 3","Qualcomm MSM7227 Snapdragon S1","600 MHz  ARMv6","Adreno 200","microSDHC (dedicated slot), 2 GB included","160MB 384MB RAM",,"3.15 MP",,"320p@15fps",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP","Yes, with A-GPS","Stereo FM radio, RDS","microUSB 2.0","Accelerometer, proximity, compass","Removable Li-Ion 1200 mAh battery","Black, White","GT-S5570",,"About 90 EUR",,,,,,,,,,,,"0.96 W/kg (head)   �",,,,,"Photo","Voice 68dB / Noise 65dB / Ring 70dB",,,"Noise -83.0dB / Crosstalk -80.6dB",,,,,,"Up to 570 h","Up to 9 h 30 min",,,"No",,,,,,,"HTML",,,,
"Samsung","Galaxy Pop i559","CDMA / EVDO","CDMA 800","CDMA2000 1xEV-DO",,"EV-DO Rev.A 3.1 Mbps","2011, March. Released 2011, April","Discontinued","110.9 x 60.6 x 12.1 mm (4.37 x 2.39 x 0.48 in)","106.6 (3.74 oz)",,"Mini-SIM","TFT capacitive touchscreen, 256K colors","3.14 inches, 30.5 cm (~45.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~127 ppi density)","Android 2.2 (Froyo)",,,,"microSDHC (dedicated slot)","164MB",,"3.15 MP, AF",,"Yes",,,"Yes","Yes","Wi-Fi 802.11 b/g/n","2.1, A2DP","Yes, with A-GPS","Stereo FM radio, RDS","microUSB 2.0","Accelerometer, proximity, compass","Removable Li-Ion 1200 mAh battery","Black",,"0.69 W/kg (head)     1.01 W/kg (body)   �","About 90 EUR",,,,,,,"MP4/H.264 player  MP3/WAV/eAAC+ player  Document viewer/editor  Photo/video editor",,,,,,"TouchWiz v3.0 UI",,,,,,,,,,,,,,"Up to 320 h","Up to 5 h",,,"No",,,,,,,"HTML",,,,
"Samsung","Galaxy S 4G T959","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 1700 / 2100",,"HSPA 21.1/5.76 Mbps","2011, January. Released 2011, February","Discontinued","122.4 x 64.5 x 9.9 mm (4.82 x 2.54 x 0.39 in)","118 g (4.16 oz)",,"Mini-SIM","Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~57.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Android 2.2 (Froyo)","Hummingbird","1.0 GHz Cortex-A8","PowerVR SGX540","microSDHC (dedicated slot), 16 GB included","1GB 512MB RAM",,"5 MP, AF",,"720p@30fps","Yes",,"Yes","Yes","Wi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP, EDR, aptX","Yes, with A-GPS","No","microUSB 2.0","Accelerometer, proximity, compass","Removable Li-Ion 1650 mAh battery","Black and Grey",,"0.90 W/kg (head)     1.23 W/kg (body)   �","About 120 EUR",,,"Corning Gorilla Glass",,,,"Qik services for video calls  MP4/DivX/WMV/H.264 player  MP3/WAV/eAAC+/FLAC player  Photo/video editor  Document editor",,,,,"0.43 W/kg (head)   �","TouchWiz 3.0 UI",,,,,,,,,,,,,,"Up to 300 h","Up to 6 h 30 min",,,,,,,,,,"HTML, Adobe Flash",,,,
"Samsung","S5260 Star II","GSM","GSM 850 / 900 / 1800 / 1900",,,,"2011, January. Released 2011, February","Discontinued","107.5 x 54 x 12.4 mm (4.23 x 2.13 x 0.49 in)","94 g (3.32 oz)",,"Mini-SIM","TFT capacitive touchscreen, 256K colors","3.0 inches, 25.6 cm (~44.1% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",,,,,"microSDHC (dedicated slot)","30MB",,"3.15 MP",,"320p@15fps",,,"Yes","Yes","Wi-Fi 802.11 b/g/n","3.0, A2DP","No","Stereo FM radio, RDS","microUSB 2.0","Accelerometer","Removable Li-Ion 1000 mAh battery","Black, White",,"0.68 W/kg (head)     0.63 W/kg (body)   �","About 70 EUR",,,,,,,"Facebook, Twitter  Gtalk, AIM, Facebook chat, Yahoo IM  MP3/WAV/WMA/AAC+ player  H.264/MP4 player  Organizer  Document viewer (Word, Excel, PowerPoint, PDF)  Voice memo  Predictive text input",,,,,"0.96 W/kg (head)   �","TouchWiz UI 3.0",,,,"Photo","Voice 68dB / Noise 66dB / Ring 70dB",,,"Noise -85.6dB / Crosstalk -61.2dB",,"Class 12","Yes",,,"Up to 900 h","Up to 8 h 20 min",,,"No","Yes, Photocall","30 dialed, 30 received, 30 missed calls","SMS, MMS, Email, IM","Yes + downloadable","Yes, MIDP 2.0",,"WAP 2.0/xHTML, HTML",,,,
"Samsung","I997 Infuse 4G","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900 / 2100",,"HSPA 21.1/3.6 Mbps","2011, January. Released 2011, May","Discontinued","132 x 71 x 9 mm (5.20 x 2.80 x 0.35 in)","139 g (4.90 oz)",,"Mini-SIM","Super AMOLED Plus capacitive touchscreen, 16M colors","4.5 inches, 57.6 cm (~61.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~207 ppi density)","Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",,"1.2 GHz Cortex-A8",,"microSDHC (dedicated slot), 2 GB included","16GB",,"8 MP, AF","LED flash","720p","1.3 MP",,"Yes","Yes","Wi-Fi 802.11 b/g/n; DLNA","3.0, A2DP","Yes, with A-GPS","No","microUSB 2.0","Accelerometer, proximity, compass","Removable Li-Ion 1750 mAh battery","Caviar Black",,"0.20 W/kg (head)     1.26 W/kg (body)   �","About 130 EUR",,,"Corning Gorilla Glass",,,,"MP4/DivX/WMV/H.264 player  MP3/WAV/eAAC+/FLAC player  Organizer  Photo/video editor  Voice memo/dial/commands  Predictive text input (Swype)",,,,,"0.17 W/kg (head)   �","TouchWiz 3.0 UI",,,,,,,,,,,,,,"Up to 400 h","Up to 8 h",,,,,,,,,,"HTML, Adobe Flash",,,,
"Samsung","R910 Galaxy Indulge","CDMA / EVDO / LTE","CDMA 800 / 1900","CDMA2000 1xEV-DO","2, 4","LTE, EV-DO Rev.A 3.1 Mbps","2011, January. Released 2011, February","Discontinued","132 x 61 x 15 mm (5.20 x 2.40 x 0.59 in)","152 g (5.36 oz)",,"Mini-SIM","TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm (~45.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","Android 2.2 (Froyo)",,"1GHz",,"microSDHC (dedicated slot), 2 GB included",,,"3.15 MP, AF",,"Yes",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS","No","microUSB 2.0","Accelerometer, proximity, compass","Removable Li-Ion 1500 mAh battery","Black",,"0.64 W/kg (head)     0.86 W/kg (body)   �","About 130 EUR",,,,,,,"MP3/WAV/eAAC+ player  MP4/H.264 player  Document viewer",,,,,,"TouchWiz UI",,,,,,,,,,,,,,"Up to 300 h","Up to 3 h",,,"No",,,,,,"QWERTY","WAP 2.0/xHTML, HTML",,,,
"Samsung","Droid Charge I510","CDMA / EVDO / LTE","CDMA 800 / 1900","CDMA2000 1xEV-DO","13","EV-DO Rev.A 3.1 Mbps, LTE","2011, January. Released 2011, May","Discontinued","130 x 68 x 12 mm (5.12 x 2.68 x 0.47 in)","143 g (5.04 oz)",,"Mini-SIM","Super AMOLED Plus capacitive touchscreen, 16M colors","4.3 inches, 52.6 cm (~59.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)","Android 2.2 (Froyo)","Hummingbird","1.0 GHz Cortex-A8","PowerVR SGX540","microSDHC (dedicated slot)","2GB",,"8 MP, AF","LED flash","Yes","1.3 MP",,"Yes","Yes","Wi-Fi 802.11 b/g, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS","No","microUSB 2.0","Accelerometer, proximity, compass","Removable Li-Ion 1600 mAh battery","Black",,"1.01 W/kg (head)     1.00 W/kg (body)   �","About 130 EUR",,,,,,,"MP4/DivX/WMV/H.264 player  MP3/WAV/eAAC+/FLAC player  Organizer  Photo/video editor  Voice memo/dial/commands  Predictive text input",,,,,,,,,,,,,,,,,,,,"Up to 280 h","Up to 11 h",,,,,,,,,,"HTML5, Adobe Flash",,,,
"Samsung","Google Nexus S","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 900 / 1700 / 2100",,"HSPA 7.2/5.76 Mbps","2010, December. Released 2010, December","Discontinued","123.9 x 63 x 10.9 mm (4.88 x 2.48 x 0.43 in)","129 g (4.55 oz)",,"Mini-SIM","Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~58.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Android 2.3 (Gingerbread), 4.1.2 (Jelly Bean), not upgradable to 4.2 (Jelly Bean)","Hummingbird","1.0 GHz Cortex-A8","PowerVR SGX540","No","16GB 512MB RAM",,"5 MP, AF","LED flash","w480p@30fps","VGA",,"Yes","Yes","Wi-Fi 802.11 b/g/n, DLNA, hotspot","2.1, A2DP","Yes, with A-GPS","No","microUSB 2.0","Accelerometer, gyro, proximity, compass","Removable Li-Ion 1500 mAh battery","Black, White",,"0.58 W/kg (head)     0.90 W/kg (body)   �","About 170 EUR",,,"Oleophobic coating",,,"Yes","MP4/H.264 player  MP3/WAV/eAAC+ player  Organizer  Photo/video editor  Voice memo/dial/commands  Predictive text input  Near Field Communications",,,,,"0.47 W/kg (head)   �",,,,,"Photo","Voice 68dB / Noise 66dB / Ring 69dB",,,"Noise -90.2dB / Crosstalk -90.8dB",,,,,,"Up to 713 h (2G) / Up to 428 h (3G)","Up to 14 h (2G) / Up to 6 h 40 min (3G)",,,,,,,,,,"HTML, Adobe Flash",,,,
"Samsung","M190S Galaxy S Hoppin","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 2100",,"HSPA","2010, October. Released 2010, Q4","Discontinued","122.4 x 64 x 10.9 mm (4.82 x 2.52 x 0.43 in)","129 g (4.55 oz)",,"Mini-SIM","Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~58.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",,"1.0 GHz",,"microSDHC (dedicated slot)","16GB",,"5 MP, AF",,"720p","Yes",,"Yes","Yes","Wi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP, EDR","Yes, with A-GPS","No","microUSB 2.0","Accelerometer, proximity, compass","Removable Li-Ion 1500 mAh battery","Titanium Grey, Cream White",,"0.33 W/kg (head)     0.48 W/kg (body)   �","About 140 EUR",,,,,,,"T-DMB TV tuner  TV-out  MP4/DivX/WMV/H.264 player  MP3/WAV/eAAC+/FLAC player  Photo/video editor  Document editor",,,,,"0.58 W/kg (head)   �","TouchWiz 3.0 UI",,,,,,,,,,,,,,"Up to 620 h","Up to 13 h 30 min",,,,,,,,,,"HTML, Adobe Flash",,,,
"Samsung","Ch@t 335","GSM","GSM 850 / 900 / 1800 / 1900",,,,"2010, November. Released 2010, December","Discontinued","111.2 x 61.2 x 12 mm (4.38 x 2.41 x 0.47 in)","93 g (3.28 oz)",,"Mini-SIM","TFT, 256K colors","2.4 inches, 17.8 cm (~26.2% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",,,,,"microSDHC (dedicated slot)","60MB",,"2 MP",,"Yes",,,"Yes","Yes","Wi-Fi 802.11 b/g","2.1, A2DP","No","Stereo FM radio, RDS, recording","microUSB","V1","Removable Li-Ion battery","Black, White, Silver",,"0.99 W/kg (head)     1.03 W/kg (body)   �","About 70 EUR",,,,,,,"SNS integration  MP3/eAAC+ player  MP4/H.264 player  Organizer  Voice memo  Predictive text input",,,"Optical trackpad",,"0.78 W/kg (head)   �",,,,,,,,,,,"Class 10","Class 10",,,"Up to 520 h","Up to 12 h",,,"No","1000 entries, Photocall","Yes","SMS, MMS, Email, IM","Yes + downloadable","Yes, MIDP 2.1","QWERTY","WAP 2.0/xHTML, HTML",,,,
"Samsung","C3630","GSM","GSM 850 / 900 / 1800 / 1900",,,,"2010, December. Released 2010, December","Discontinued","115.2 x 45.7 x 13.2 mm (4.54 x 1.80 x 0.52 in)","-",,"Mini-SIM","TFT, 65K colors","2.2 inches, 15.0 cm (~28.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,"No","90MB",,"1.3 MP",,"Yes",,,"Yes","No","No","2.1","No","Stereo FM radio","Proprietary","V1","Removable Li-Ion 900 mAh battery","Black",,,"About 50 EUR",,,,,,,"MP3/eAAC+ player  MP4/H.263 player  Organizer  Voice memo  Predictive text input",,,,,"0.84 W/kg (head)   �",,,,,,,,,,,"Yes","No",,,"Up to 360 h","Up to 8 h 50 min",,,"No","Yes, Photocall","Yes","SMS","Yes + downloadable",,,"WAP 2.0/xHTML",,,,
"Samsung","C3530","GSM","GSM 850 / 900 / 1800 / 1900",,,,"2010, November. Released 2010, November","Discontinued","112.2 x 46.7 x 11.9 mm (4.42 x 1.84 x 0.47 in)","91.4 g (3.21 oz)",,"Mini-SIM","TFT, 256K colors","2.2 inches, 15.0 cm (~28.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,"microSDHC (dedicated slot)","50MB",,"3.15 MP",,"QCIF@15fps",,,"Yes","Yes","No","2.1, A2DP","No","Stereo FM radio, RDS, recording","microUSB 2.0","V1","Removable Li-Ion 960 mAh battery","Silver, Black; La Fleur edition",,,"About 90 EUR",,,,,,,"SNS integration  MP3/WMA/eAAC+ player  MP4/H.263 player  Organizer  Voice memo  Predictive text input",,,,,"0.92 W/kg (head)   �",,,,,,,,,,,"Class 12","Class 12",,,"Up to 640 h","Up to 14 h 30 min",,,"No","1000 contacts, Photocall","30 dialed, 30 received, 30 missed calls","SMS, MMS, Email","Yes + downloadable","Yes, MIDP 2.0",,"WAP 2.0/xHTML, HTML",,,,
"Samsung","I9010 Galaxy S Giorgio Armani","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900 / 2100",,"HSPA 7.2/5.76 Mbps","2010, November. Released 2011, January","Discontinued","122.5 x 64.2 x 9.9 mm (4.82 x 2.53 x 0.39 in)","123 g (4.34 oz)",,"Mini-SIM","Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~57.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Android 2.2 (Froyo)","Hummingbird","1.0 GHz Cortex-A8","PowerVR SGX540","microSDHC (dedicated slot)","16GB",,"5 MP, AF",,"720p@30fps",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS","No","microUSB 2.0","Accelerometer, proximity, compass","Removable Li-Po 1650 mAh battery","Black",,"0.61 W/kg (head)     0.49 W/kg (body)   �","About 280 EUR","HSDPA 900 / 1900 / 2100",,"Corning Gorilla Glass",,,,"MP4/DivX/XviD/WMV/H.264 player  MP3/WAV/eAAC+/FLAC player  Photo/video editor",,,,,"0.51 W/kg (head)   �","TouchWiz 3.0 UI",,,,"Photo","Voice 64dB / Noise 66dB / Ring 75dB",,,"Noise -90.6dB / Crosstalk -92.5dB",,,,,,"Up to 860 h (2G) / Up to 660 h (3G)","Up to 14 h 50 min (2G) / Up to 11 h (3G)",,,"No",,,,,,,"HTML, Adobe Flash",,,,
"Samsung","A817 Solstice II","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 900 / 2100",,"HSPA 7.2/0.384 Mbps","2010, November. Released 2010, November","Discontinued","109 x 54.1 x 12 mm (4.29 x 2.13 x 0.47 in)","95 g (3.35 oz)",,"Mini-SIM","TFT resistive touchscreen, 65K colors","3.35 inches, 31.9 cm (~54.2% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~139 ppi density)",,,,,"microSDHC (dedicated slot)","256MB",,"2 MP",,"Yes",,,"Yes","No","No","2.1, A2DP","Yes, with A-GPS","No","microUSB 2.0","V1","Removable Li-Ion 1000 mAh battery","Black",,"0.84 W/kg (head)     1.04 W/kg (body)   �","About 90 EUR",,,,,,,"SNS integration  MP3/WMA/eAAC+ player  H.264/MP4 player  Organizer  Voice memo/dial/commands  Predictive text input",,,,,"0.41 W/kg (head)   �","TouchWiz 2.0 UI",,,,,,,,,,,,,,"Up to 250 h","Up to 5 h",,,"No","2000 entries, Photocall","90 received, dialed and missed calls","SMS(threaded view), MMS, Email","Yes + downloadable","Yes, MIDP 2.0",,"WAP 2.0/xHTML, HTML",,,,
"Samsung","A667 Evergreen","GSM / HSPA","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900",,"HSPA 3.6/0.384 Mbps","2010, November. Released 2010, November","Discontinued","116 x 56 x 15 mm (4.57 x 2.20 x 0.59 in)","128 g (4.52 oz)",,"Mini-SIM","TFT, 256K colors","1.92 inches, 11.4 cm (~17.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~208 ppi density)",,,,,"microSDHC (dedicated slot)","256MB",,"2 MP",,"Yes",,,"Yes","No","No","2.1, A2DP","Yes, with A-GPS","Stereo FM radio","microUSB 2.0","V1","Removable Li-Ion 1000 mAh battery","Black",,"1.00 W/kg (head)     1.04 W/kg (body)   �","About 70 EUR",,,,,,,"SNS integration  MP3/WAV/eAAC+ player  MP4/H.264 player  Organizer  Document viewer  Voice memo/dial  Predictive text input",,,,,"0.23 W/kg (head)   �",,,,,,,,,,,,,,,"Up to 250 h","Up to 5 h",,,"No","Yes, Photocall","Yes","SMS, MMS, Email","Yes","Yes, MIDP 2.0","QWERTY","WAP 2.0/xHTML, HTML",,,,
"Samsung","E2530","GSM","GSM 850 / 900 / 1800 / 1900",,,,"2010, November. Released 2011, June","Discontinued","94.4 x 47.2 x 17.4 mm (3.72 x 1.86 x 0.69 in)","86 g (3.03 oz)",,"Mini-SIM","TFT, 65K colors","2.0 inches, 12.6 cm (~28.3% screen-to-body ratio)","128 x 160 pixels (~102 ppi density)",,,,,"microSDHC (dedicated slot)",,,"1.3 MP",,"Yes",,,"Yes","Yes","No","2.1, A2DP","No","FM radio, recording","2.0","V1","Removable Li-Ion 800 mAh battery","Black; La Fleur edition",,"0.41 W/kg (head)     0.70 W/kg (body)   �","About 70 EUR",,,,,,,"SNS integration  MP3/MP4 player  Organizer  Voice memo  Predictive text input",,,,,"0.43 W/kg (head)   �","hidden 1"" CSTN 96 x 96 pixels external display",,,,,,,,,,"Class 12","Class 12",,,"Up to 530 h","Up to 11 h 20 min",,,"No","1000 entries, Photocall","30 dialed, 30 received, 30 missed calls","SMS, MMS","Yes","Yes, MIDP 2.0",,"WAP 2.0/xHTML",,,,
"Samsung","I100 Gem","CDMA / EVDO","CDMA 800 / 1900","CDMA2000 1xEV-DO",,"EV-DO Rev.A 3.1 Mbps","2011, January. Released 2011, February","Discontinued","113.8 x 55.4 x 12.2 mm (4.48 x 2.18 x 0.48 in)","109.2 g (3.84 oz)",,"Mini-SIM","TFT touchscreen, 256K colors","3.2 inches, 29.1 cm (~46.2% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)","Android 2.1 (Eclair)",,"800MHz",,"microSDHC (dedicated slot)","124MB",,"3.15 MP",,"Yes",,,"Yes","Yes","No","2.1, A2DP","Yes, with A-GPS","No","microUSB 2.0","Accelerometer, proximity","Removable Li-Ion battery","Black",,"0.47 W/kg (head)     1.02 W/kg (body)   �","About 50 EUR",,,"Scratch-resistant glass",,,,"Photo editor  MP3/WMA/WAV/eAAC+ player  MP4/H.264 player  Organizer  Document viewer  Voice memo  Predictive text input (Swype)",,,,,,,,,,,,,,,,,,,,"Up to 800 h","Up to 6 h 50 min",,,"No",,,,,,,"WAP 2.0/xHTML, HTML",,,,
"Samsung","R710 Suede","CDMA / EVDO","CDMA 800 / 1900","CDMA2000 1xEV-DO",,"EV-DO Rev. 0","2011, January. Released 2011, March","Discontinued","112.9 x 55.5 x 12.7 mm (4.44 x 2.19 x 0.5 in)","94 g (3.32 oz)",,"Mini-SIM","TFT capacitive touchscreen, 256K colors","3.0 inches, 25.6 cm (~40.9% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",,,,,"microSDHC (dedicated slot)","135MB",,"3.15 MP",,"Yes",,,"Yes, with stereo speakers","Yes","Wi-Fi 802.11 b/g","2.1, A2DP, EDR","No","Stereo FM radio, RDS, recording","microUSB 2.0","Accelerometer","Removable Li-Ion 1080 mAh battery","Black",,"0.94 W/kg (head)     0.32 W/kg (body)   �","About 70 EUR",,,,,,,"SNS integration  Photo editor  MP3/WMA/eAAC+ player  MP4/H.264 player  Organizer  Voice memo  Predictive text input",,,,,"1.02 W/kg (head)   �","TouchWiz UI",,,,,,,,,,,,,,"Up to 330 h","Up to 5 h",,,"No","2000 contacts, Photocall","Yes","SMS, MMS, Email, IM","Yes + downloadable","Yes, MIDP 2.0",,"WAP 2.0/xHTML, HTML",,,,
"Samsung","U750 Zeal","CDMA / EVDO","CDMA 800 / 1900","CDMA2000 1xEV-DO",,"EV-DO Rev.A 3.1 Mbps","2010, November. Released 2010, November","Discontinued","101.9 x 51.8 x 17.1 mm (4.01 x 2.04 x 0.67 in)","123 g (4.34 oz)",,"Mini-SIM","TFT, 256K colors","2.6 inches, 20.9 cm (~39.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",,,,,"microSDHC (dedicated slot)",,,"2 MP, AF",,"Yes",,,"Yes","No","V1","2.1, A2DP","Yes, with A-GPS","No","microUSB 2.0","V1","Removable Li-Ion 880 mAh battery","Black",,"0.54 W/kg (head)     1.11 W/kg (body)   �","About 100 EUR",,,,,,,"SNS integration  MP3/AAC player  MP4/H.263 player  Organizer  Voice memo/dial  Predictive text input",,,,,,"External display, 128x128 pixels, 1.3""",,,,,,,,,,,,,,"Up to 340 h","Up to 5 h",,,"No","1000 entries, Photocall","Yes","SMS, MMS, Email, Push Email, IM","Yes","No","QWERTY","WAP 2.0/xHTML, HTML",,,,
"Samsung","Ch@t 322 Wi-Fi","GSM","GSM 850 / 900 / 1800 / 1900 - SIM 1",,,,"2011","Discontinued","109.5 x 60 x 12.3 mm (4.31 x 2.36 x 0.48 in)","95 g (3.35 oz)",,"Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors","2.2 inches, 15.2 cm (~23.2% screen-to-body ratio)","220 x 176 pixels (~128 ppi density)",,,,,"microSDHC (dedicated slot)","54MB",,"1.3 MP",,"QCIF@15fps",,,"Yes","Yes","Wi-Fi 802.11 b/g","2.1, A2DP","No","FM radio, recording","microUSB","V1","Removable Li-Ion 1000 mAh battery","Black, White, Pink","GT-3222W","0.47 W/kg (head)     0.53 W/kg (body)   �","About 70 EUR","GSM 850 / 900 / 1800 / 1900 - SIM 2",,,,,,"SNS integration  MP3/eAAC+ player  MP4/H.264 player  Organizer  Voice memo  Predictive text input",,,"Optical trackpad",,"0.73 W/kg (head)   �",,,,,,,,,,,"Class 10","No",,,"Up to 500 h","Up to 11 h 40 min",,,"No","1000 entries, Photocall","30 dialed, 30 received, 30 missed calls","SMS, MMS, Email, Push Email, IM","Yes + downloadable","Yes, MIDP 2.0","QWERTY",,,,,
"Samsung","Ch@t 322","GSM","GSM 850 / 900 / 1800 / 1900 - SIM 1",,,,"2010, October. Released 2010, November","Discontinued","109.5 x 60 x 12.3 mm (4.31 x 2.36 x 0.48 in)","95 g (3.35 oz)",,"Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors","2.2 inches, 15.2 cm (~23.2% screen-to-body ratio)","220 x 176 pixels (~128 ppi density)",,,,,"microSDHC (dedicated slot)","54MB",,"1.3 MP",,"QCIF@15fps",,,"Yes","Yes","No","2.1, A2DP","No","FM radio, recording","microUSB","V1","Removable Li-Ion 1000 mAh battery","Black, White, Pink",,"0.47 W/kg (head)     0.53 W/kg (body)   �","About 60 EUR","GSM 850 / 900 / 1800 / 1900 - SIM 2",,,,,,"SNS integration  MP3/eAAC+ player  MP4/H.264 player  Organizer  Voice memo  Predictive text input",,,"Optical trackpad",,"0.73 W/kg (head)   �",,,,,,,,,,,"Class 10","No",,,"Up to 500 h","Up to 11 h",,,"No","1000 entries, Photocall","255 dialed, 255 received, 255 missed calls","SMS, MMS, Email, Push Email, IM","Yes + downloadable","Yes, MIDP 2.0","QWERTY","WAP 2.0/xHTML, HTML",,,,
"Samsung","E1252","GSM","GSM 900 / 1800 - SIM 1",,,,"2010, October. Released 2010, October","Discontinued","112.7 x 46.7 x 13.9 mm (4.44 x 1.84 x 0.55 in)","76.7 g (2.68 oz)",,"Dual SIM (Mini-SIM)","TFT, 256K colors","2.0 inches, 12.6 cm (~23.9% screen-to-body ratio)","128 x 160 pixels (~102 ppi density)",,,,,"No",,,,,,,,"Yes","No","No","No","No","FM radio","No","V1","Removable Li-Ion 1000 mAh battery","Black, White",,,"About 30 EUR","GSM 900 / 1800 - SIM 2",,,,,,"MP3/eAAC+ player  MP4/H.264 player  Organizer  Voice memo  Predictive text input",,,,,"0.94 W/kg (head)   �",,,,,,,,,,"No","No","No",,,"Up to 625 h","Up to 11 h",,,,"1000 entries, Photocall","20 dialed, 20 received, 20 missed calls","SMS","Yes","No",,"No",,,,
"Samsung","Breeze B209","CDMA","CDMA 800",,,,"2011. Released 2011","Discontinued","108 x 44.8 x 14.3 mm (4.25 x 1.76 x 0.56 in)","72.3 g (2.54 oz)",,"Mini-SIM","CSTN, 65K colors","1.52 inches, 7.5 cm (~15.4% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~119 ppi density)",,,,,"No","351 KB",,,,,,,"Yes","No","No","No","No","No","2.0","V1","Removable Li-Ion 1000 mAh battery","Black",,"1.10 W/kg (head)     0.32 W/kg (body)   �","About 20 EUR",,,,,,,"Organizer  Voice memo  Predictive text input",,,,,,,,,,,,,,,"No","No","No",,,"Up to 470 h","Up to 4 h 20 min",,,,"1000 entries","Yes","SMS, MMS","Yes","No",,"No",,,,
