"oem","model","network_technology","network_2g_bands","network_�","network_3g_bands","network_4g_bands","network_5g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","memory_�","main_camera_quad","main_camera_features","main_camera_video","selfie_camera_dual","selfie_camera_features","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_nfc","comms_usb","features_sensors","battery_�","battery_charging","misc_colors","misc_models","misc_price","selfie_camera_single","display_�","body_build","body_�","main_camera_single","sound_�","comms_radio","network_gprs","network_edge","camera_�","main_camera_five","comms_infrared_port","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_battery_life","main_camera_triple","selfie_camera_�","main_camera_dual","display_protection","tests_audio_quality","misc_sar_eu","memory_phonebook","memory_call_records","features_messaging","features_games","features_java","features_�","battery_stand-by","selfie_camera_triple","battery_talk_time","battery_music_play","misc_sar","body_keyboard","features_browser"
"Huawei","Mate 9","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (MHA-L29 model only)","1, 2, 3, 4, 5, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 29, 38, 39, 40 - MHA-L09","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - MHA-L29, MHA-L09","1, 2, 3, 4, 5, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 29, 38, 39, 40, 41 - MHA-L29",,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps","2016, November","Available. Released 2016, December","156.9 x 78.9 x 7.9 mm (6.18 x 3.11 x 0.31 in)","190 g (6.70 oz)","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 96.0 cm (~77.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~373 ppi density)","Android 7.0 (Nougat), upgradable to Android 9.0 (Pie); EMUI 9.1","HiSilicon Kirin 960 (16 nm)","Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53)","Mali-G71 MP8","microSDXC (uses shared SIM slot) - dual SIM model only","64GB 4GB RAM",,,"Leica optics, dual-LED dual-tone flash, panorama, HDR","2160p@30fps, 1080p@30/60fps",,,"1080p@30fps","Yes, with stereo speakers","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO","Yes","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass","Non-removable Li-Po 4000 mAh battery","Fast charging 22.5W","Agate Red, Topaz Blue, Space Gray, Moonlight Silver, Champagne Gold, Mocha Brown, Ceramic White, Black, Obsidian Black","MHA-L29, MHA-L09, MHA-AL00","About 320 EUR","8 MP, f/1.9, 26mm (wide), 1/3.2"", 1.4µm, AF",,"Glass front (Gorilla Glass 3), aluminum back, aluminum frame",,,,"No",,,,,"Yes","Basemark OS II 2.0: 2637Basemark X: 36519","Contrast ratio: 1622 (nominal), 3.680 (sunlight)","Photo / Video","Voice 83dB / Noise 74dB / Ring 85dB","Endurance rating 82h",,,"12 MP, f/2.2, 27mm (wide), 1/2.9"", 1.25µm, PDAF, Laser AF, OIS  20 MP B/W, f/2.2, 27mm (wide), 1/2.7"", PDAF, Laser AF, OIS","Corning Gorilla Glass 3","Noise -92.2dB / Crosstalk -93.3dB",,,,,,,,,,,,,,
"Huawei","Fit","No cellular connectivity","N/A",,,,,,"2016, November","Available. Released 2016, November","39.4 x 39.4 x 11.2 mm (1.55 x 1.55 x 0.44 in)","35 g (1.23 oz)","No","Monochrome graphic","1.04 inches, 7.0 cm (~45.0% screen-to-body ratio)","208 x 208 pixels, 1:1 ratio (~200 ppi density)",,,,,"No","16MB 256 KB RAM",,,,,,,,"Yes","No","No","4.2, LE","No",,"No","Accelerometer, gyro, heart rate","Non-removable Li-Ion 80 mAh battery",,"Titanium Gray, Moonlight Silver, Orange",,"About 200 EUR",,"Always-on screen","Glass front, aluminum frame","50m water resistant  IP68 dust/water resistant (up to 1.5m for 30 mins)  Compatible with standard 18mm and 20mm straps",,,"No","No","No","No",,,,,,,,,,,"Corning Gorilla Glass 3",,,"Yes","Yes","SMS, Email, IM","No","No",,"Up to 144 h (mixed usage)",,,,,,
"Huawei","Enjoy 6","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 900 / 2100","1, 3, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps or LTE-A (2CA) Cat6 300/50 Mbps","2016, October","Available. Released 2016, November","143.2 x 70.4 x 7.9 mm (5.64 x 2.77 x 0.31 in)","145 g (5.11 oz)","Hybrid Dual SIM","OLED capacitive touchscreen, 16M colors","5.0 inches, 69.4 cm (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~293 ppi density)","Android 6.0 (Marshmallow); EMUI 4.1","Mediatek MT6750 (28 nm)","Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)","Mali-T860MP2","microSDXC (uses shared SIM slot)","16GB 3GB RAM","eMMC 5.1",,"LED flash, panorama, HDR","1080p@30fps",,,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",,"microUSB 2.0","Fingerprint (rear-mounted), accelerometer, proximity, compass","Non-removable Li-Po 4100 mAh battery",,"Pink, White, Gold, Blue, Gray","NCE-AL00, NCE-TL00, NCE-AL10","About 200 EUR","5 MP",,,,"13 MP, f/2.2, AF",,"FM radio",,,,,,,,,,,,,,,,,,,,,,,"Up to 648 h (3G)",,"Up to 22 h (3G)",,,,
"Huawei","MediaPad M3 8.4","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900",,"HSDPA 850 / 900 / 1900 / 2100","1, 3, 5, 7, 8, 19, 20, 28, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2016, September","Available. Released 2016, October","215.5 x 124.2 x 7.3 mm (8.48 x 4.89 x 0.29 in)","326 g (11.50 oz)","Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","8.4 inches, 204.6 cm (~76.4% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~359 ppi density)","Android 6.0 (Marshmallow); EMUI 4.1","HiSilicon Kirin 950 (16 nm)","Octa-core (4x2.3 GHz Cortex-A72 & 4x1.8 GHz Cortex A53)","Mali-T880 MP4","microSDXC (dedicated slot)","32GB 4GB RAM, 64GB 4GB RAM",,,"HDR, panorama","1080p@30fps",,,"1080p@30fps","Yes, with stereo speakers","Yes","Wi-Fi 802.11 a/b/g/n/ac, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS/ BDS (market dependant)",,"microUSB 2.0","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 5100 mAh battery",,"Silver, Gold","BTV-DL09, BTV-W09","About 280 EUR","8 MP",,,,"8 MP, AF","Tuned by Harman Kardon","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","nova plus","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","2, 4, 5, 7, 12, 17, 28 - MLA-L03/L13","HSDPA 900 / 2100 - MLA-L01/L11","1, 3, 7, 8, 20, 38 - MLA-L01/L11",,"HSPA 42.2/5.76 Mbps, LTE-А (2CA) Cat7 300/150 Mbps","2016, September","Available. Released 2016, October","151.8 x 75.7 x 7.3 mm (5.98 x 2.98 x 0.29 in)","160 g (5.64 oz)","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 6.0.1 (Marshmallow); EMUI 4.1","Qualcomm MSM8953 Snapdragon 625 (14 nm)","Octa-core 2.0 GHz Cortex-A53","Adreno 506","microSDXC (uses shared SIM slot)","32GB 3GB RAM","eMMC 5.1",,"Dual-LED dual-tone flash, panorama, HDR","2160p@30fps, 1080p@30fps",,,"1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS","Yes","Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity, compass","Non-removable Li-Po 3340 mAh battery","Fast charging 18W","Prestige Gold, Mystic Silver, Titanium Grey","MLA-L01/L11, MLA-L11, MLA-L02/L12, MLA-L02, MLA-L12, MLA-L03/L13, MLA-L03, MLA-L13, MLA-AL10, MLA-L01","About 250 EUR","8 MP, f/2.0",,,,"16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF, OIS",,"FM radio",,,,,,"Basemark OS II 2.0: 1215Basemark X: 10524","Contrast ratio: 1281:1 (nominal), 2.329 (sunlight)","Photo / Video","Voice 68dB / Noise 68dB / Ring 76dB","Endurance rating 79h",,,,,"Noise -70.7dB / Crosstalk -95.4dB",,,,,,,,,,,,,,
"Huawei","nova","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","2, 4, 5, 7, 28, 12, 17 - CAN-L03L13","HSDPA 850 / 900 / 1900 / 2100 - CAN-L01L11","1, 3, 7, 8, 20, 38 - CAN-L01L11",,"HSPA, LTE","2016, September","Available. Released 2016, October","141.2 x 69.1 x 7.1 mm (5.56 x 2.72 x 0.28 in)","146 g (5.15 oz)","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~70.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat); EMUI 4.1","Qualcomm MSM8953 Snapdragon 625 (14 nm)","Octa-core 2.0 GHz Cortex-A53","Adreno 506","microSDXC (uses shared SIM slot)","32GB 3GB RAM","eMMC 5.1",,"HDR, panorama","2160p@30fps, 1080p@30fps",,,"1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS","No","Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 3020 mAh battery","Fast charging 18W","Prestige Gold, Mystic Silver, Titanium Grey, Obsidian Black","CAN-L01L11, CAN-L02L12, CAN-L03L13, CAN-L11, CAN-L01, CAN-L12, CAZ-AL10, CAZ-TL10","About 200 EUR","8 MP",,"Glass front, aluminum back, aluminum frame",,"12 MP, 1/2.9"", 1.25µm, PDAF",,"FM radio",,,,,,"Basemark OS II 2.0: 1218Basemark X: 10511","Contrast ratio: 1540:1 (nominal), 2.467 (sunlight)","Photo / Video","Voice 69dB / Noise 71dB / Ring 80dB","Endurance rating 84h",,,,,"Noise -68.9dB / Crosstalk -95.9dB",,,,,,,,,,,,,,
"Huawei","MediaPad T2 10.0 Pro","GSM / CDMA / HSPA / LTE","GSM 850 / 900 / 1800 / 1900","1, 3, 7, 38, 39, 40, 41 - FDR-A03L","HSDPA 850 / 900 / 1900 / 2100","1, 3, 7, 8, 20, 28, 38, 40 - FDR-A01L",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, September","259.1 x 156.4 x 8.5 mm (10.20 x 6.16 x 0.33 in)","495 g (1.09 lb)","Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","10.0 inches, 290.0 cm (~71.6% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~226 ppi density)","Android 5.1 (Lollipop); EMUI 3.1","Qualcomm MSM8939 Snapdragon 615 (28 nm)","Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)","Adreno 405","microSDXC (dedicated slot)","16GB 2GB RAM; 16GB 3GB RAM, 32GB 3GB RAM (A03L)","eMMC 4.5",,"LED flash, HDR, panorama","1080p@30fps",,,,"Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS/ BDS (region dependent)",,"microUSB 2.0","Accelerometer","Non-removable Li-Ion 6660 mAh battery",,"Pearl White, Charcoal Black","FDR-A01L, FDR-A03L, FDR-A04L","About 240 EUR","2 MP",,,,"8 MP, f/2.0, AF",,"FM radio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","MediaPad T2 7.0 Pro","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA","LTE (unspecified)",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, September","187.4 x 105.8 x 8.2 mm (7.38 x 4.17 x 0.32 in)","250 g (8.82 oz)","Dual SIM","LTPS IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 135.1 cm (~68.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~315 ppi density)","Android 5.1 (Lollipop); EMUI 3.1","Qualcomm MSM8939 Snapdragon 615 (28 nm)","Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)","Adreno 405","microSDXC","16GB 2GB RAM, 32GB 3GB RAM (701L); 16GB 3GB RAM, 32GB 3GB RAM (703L)","eMMC 4.5",,"LED flash, HDR, panorama","1080p@30fps",,,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with A-GPS, GLONASS/ BDS (region dependent)",,"microUSB 2.0","Fingerprint (side-mounted), accelerometer, proximity, compass","Non-removable Li-Po 4360 mAh battery",,"White, Gold, Blue, Pink","PLE-701L, PLE-703L","About 230 EUR","5 MP",,,,"13 MP, f/2.0, AF",,"No","Yes","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","MediaPad T2 7.0","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900","1, 2, 3, 4, 5, 7, 8, 17, 28 - BGO-L03","HSDPA 850 / 900 / 1900 / 2100 - BGO-DL09","1, 3, 5, 8, 19, 20, 38, 39, 40, 41 - BGO-DL09",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, September","191.8 x 107 x 8.5 mm (7.55 x 4.21 x 0.33 in)","278 g (9.81 oz)","Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm (~67.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Android 6 (Marshmallow); EMUI 4","Spreadtrum SC9830l","Quad-core 1.5 GHz Cortex-A7",,"microSD","8GB 1GB RAM, 16GB 1GB RAM, 16GB 2GB RAM (DL09)",,,,"720p@30fps",,,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with A-GPS, GLONASS/ BDS (region dependent)",,"microUSB 2.0","Accelerometer","Non-removable Li-Ion 4100 mAh battery",,"Black/Silver","BGO-DL09, BGO-L03","About 150 EUR","2 MP",,,,"2 MP",,"No",,,,,,,,,,,,,,,,,,,,,,,"Up to 455 h",,"Up to 12 h (multimedia)",,,,
"Huawei","G9 Plus","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA","LTE (unspecified)",,"HSPA, LTE","2016, August","Available. Released 2016, August","151.8 x 75.7 x 7.3 mm (5.98 x 2.98 x 0.29 in)","160 g (5.64 oz)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 6.0 (Marshmallow); EMUI 4.1","Qualcomm MSM8953 Snapdragon 625 (14 nm)","Octa-core 2.0 GHz Cortex-A53","Adreno 506","microSDXC (uses shared SIM slot)","32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM","eMMC 5.1",,"Dual-LED dual-tone flash, panorama, HDR","2160p@30fps, 1080p@30fps",,,"1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS/ BDS (region dependent)",,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Non-removable Li-Po 3340 mAh battery",,"Black, White, Gold","MLA-UL00, MLA-TL10","About 280 EUR","8 MP",,,,"16 MP, 1/2.8"", 1.12µm, PDAF, OIS",,"FM radio","Yes","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","MediaPad T1 7.0 Plus","GSM / HSPA","GSM 850 / 900 / 1800 / 1900",,"HSDPA 900 / 2100",,,"HSPA","2016, April","Available. Released 2016, April","191.8 x 107 x 8.5 mm (7.55 x 4.21 x 0.33 in)","278 g (9.81 oz)","Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm (~67.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Android 4.4.2 (KitKat); EMUI 3","Spreadtrum SC7731G","Quad-core 1.2 GHz Cortex-A7",,"microSDXC (dedicated slot)","16GB 2GB RAM",,,,"720p@30fps",,,,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with A-GPS",,"microUSB 2.0, USB On-The-Go","Accelerometer","Non-removable Li-Ion 4100 mAh battery",,"Black/Silver","T1-701ua, T1-701u","About 100 EUR","2 MP",,,,"5 MP, AF",,"No",,,,,,,,,,,,,,,,,,,,,,,"Up to 300 h",,"Up to 10 h (multimedia)",,,,
"Huawei","MediaPad M2 7.0","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 850 / 900 / 1900 / 2100","LTE (unspecified)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, May","Available. Released 2016, June","187.4 x 105.8 x 8.2 mm (7.38 x 4.17 x 0.32 in)","250 g (8.82 oz)","Dual SIM","IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm (~71.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~323 ppi density)","Android 5.1.1 (Lollipop); EMUI","Qualcomm MSM8939 Snapdragon 615 (28 nm)","Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)","Adreno 405","microSDXC (dedicated slot)","16GB 3GB RAM, 32GB 3GB RAM","eMMC 4.5",,"LED flash","Yes",,,,"Yes","Yes","Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,"microUSB 2.0","Fingerprint (side-mounted), accelerometer, proximity","Non-removable Li-Ion 4360 mAh battery",,"White, Blue, Gold, Pink",,"About 200 EUR","5 MP",,,,"13 MP, f/2.0, AF",,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","Y3II","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","3, 5, 40 - India","HSDPA 850 / 900 / 1900 / 2100","1, 3, 7, 8, 20",,"HSPA, LTE","2016, April","Available. Released 2016, June","134.2 x 66.7 x 9.9 mm (5.28 x 2.63 x 0.39 in)","150 g (5.29 oz)","Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~62.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","Android 5.1 (Lollipop); EMUI 3.1","Mediatek MT6735M - 4G modelMediatek MT6582M - 3G model","Quad-core 1.0 GHz Cortex-A53 - 4G modelQuad-core 1.3 GHz Cortex-A7 - 3G model","Mali-T720MP2 - 4G modelMali-400MP2 - 3G model","microSDHC (dedicated slot)","8GB 1GB RAM",,,"Dual-LED flash","1080p@30fps",,,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity","Removable Li-Po 2100 mAh battery",,"Obsidian Black, Arctic White, Sand Gold, Rose Pink, Sky Blue","LUA-U22, LUA-U02, LUA-L21, LUA-L22, LUA-L01, U22, LUA-L02, LUA-L03, LUA-L23, LUA-U03, LUA-L13, LUA-U23","About 80 EUR","2 MP",,"Glass front, plastic back, plastic frame",,"5 MP, AF",,"FM radio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","Y5II","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 850 / 900 / 1900 / 2100","1, 3, 7, 8, 20",,"HSPA, LTE","2016, April","Available. Released 2016, June","143.8 x 72 x 8.9 mm (5.66 x 2.83 x 0.35 in)","135 g (4.76 oz)","Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 5.1 (Lollipop); EMUI 3.1","Mediatek MT6735P (28 nm) - 4G modelMediatek MT6582 - 3G model","Quad-core 1.3 GHz Cortex-A53 - 4G modelQuad-core 1.3 GHz Cortex-A7 - 3G model","Mali-T720MP2 - 4G modelMali-400MP2 - 3G model","microSDHC (dedicated slot)","8GB 1GB RAM",,,"LED flash","720p@30fps",,"LED flash",,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,"microUSB 2.0","Accelerometer, proximity, compass","Removable Li-Po 2200 mAh battery",,"Obsidian Black, Arctic White, Sand Gold, Rose Pink, Sky Blue","CUN-U29, CUN-U19, CUN-U09, CUN-L21, CUN-L22, CUN-L01, CUN-L02, CUN-L03, CUN-L33, CUN-L23","About 110 EUR","2 MP",,"Glass front, plastic back, plastic frame",,"8 MP, f/2.0, AF",,"FM radio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","P9 lite","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 900 / 1900 / 2100","1, 3, 7, 8, 20",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, April 20","Available. Released 2020, May 15","146.8 x 72.6 x 7.5 mm (5.78 x 2.86 x 0.30 in)","147 g (5.19 oz)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~69.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat); EMUI 4.1","HiSilicon Kirin 650 (16 nm)","Octa-core (4x2.0 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53)","Mali-T830MP2","microSDXC (uses shared SIM slot)","16GB 2GB RAM, 16GB 3GB RAM",,,"LED flash, panorama, HDR","1080p@30fps",,,"1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS","Yes (L31, L21 only)","microUSB 2.0","Fingerprint (rear-mounted), accelerometer, proximity, compass","Non-removable 3000 mAh battery",,"Black, White, Gold","VNS-L31, VNS-L21, VNS-L22, VNS-L23, VNS-L53, VNS-AL00, VNS-L62, VNS-L52","About 210 EUR","8 MP, f/2.0",,"Glass front, plastic back, aluminum frame",,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF","24-bit/192kHz audio","FM radio",,,,,,"Basemark OS II 2.0: 1242Basemark X: 7681","Contrast ratio: 1192 (nominal), 2.679 (sunlight)","Photo / Video","Voice 66dB / Noise 71dB / Ring 83dB","Endurance rating 79h",,,,,"Noise -97.8dB / Crosstalk -97.2dB","1.38 W/kg (head)     1.59 W/kg (body)   �",,,,,,,,,,,,,
"Huawei","P9 Plus","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","1, 2, 3, 4, 5, 6, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41 - VIE-L29","HSDPA 850 / 900 / 1900 / 2100 - VIE-L09, VIE-L29","1, 2, 3, 4, 5, 6, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40 - VIE-L09",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2016, April","Available. Released 2016, May","152.3 x 75.3 x 7 mm (6.00 x 2.96 x 0.28 in)","162 g (5.71 oz)","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 6 (Marshmallow), upgradable to 7 (Nougat); EMUI 5","HiSilicon Kirin 955 (16 nm)","Octa-core (4x2.5 GHz Cortex-A72 & 4x1.8 GHz Cortex-A53)","Mali-T880 MP4","microSDXC (uses shared SIM slot)","64GB 4GB RAM",,,"Leica optics, dual-LED dual-tone flash, panorama, HDR","1080p@30fps",,,"1080p@30fps","Yes, with stereo speakers","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS/ BDS (market dependant)","Yes","Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 3400 mAh battery","Fast charging 18W, 38% in 30 min (advertised)","Haze Gold, Quartz Grey, Ceramic White","VIE-L09, VIE-L29, VIE-AL10","About 430 EUR","8 MP, f/1.9, AF","3D Touch display","Glass front (Gorilla Glass 3), aluminum back, aluminum frame",,"12 MP, f/2.2, 27mm (wide), 1/2.9"", 1.25µm, PDAF, Laser AF  12 MP B/W, f/2.2, 27mm (wide), 1/2.9"", 1.25µm, PDAF, Laser AF","24-bit/192kHz audio","No",,,,,"Yes","Basemark OS II 2.0: 2099Basemark X: 15058","Contrast ratio: Infinite (nominal), 3.956 (sunlight)","Photo / Video","Voice 71dB / Noise 73dB / Ring 81dB","Endurance rating 69h",,,,"Corning Gorilla Glass 3","Noise -97.4dB / Crosstalk -96.9dB","1.48 W/kg (head)     1.49 W/kg (body)   �",,,,,,,,,,,,,
