brand,phone_name,phone_price,phone_image,available_status,average_rating,battery_rating,camera_rating,design_rating,performance_rating,connectivity_rating,user_rating,cpu,density,diagonal,processor_model,resolution,screen_type,size,usable_surface,weight,aspect_ratio
OnePlus,OnePlus 5T,278,//cdn-files.kimovil.com/phone_front/0002/06/thumb_105772_phone_front_x_small.jpeg,On Sale,7.3,5.6,7.6,6.8,7.5,8.9,0,4x 2.45 GHz Kryo + 4x 2.15 GHz Kryo,402 ppi Very high density,6.01,Qualcomm Snapdragon 835,1080 x 2160 px,Amoled,75.0 mm  156.1 mm  7.3 mm,79%,162 g,18:09
OnePlus,OnePlus 6,482,//cdn-files.kimovil.com/phone_front/0002/40/thumb_139870_phone_front_x_small.jpeg,On Sale,7.6,5.5,7.9,7.7,7.9,9.1,0,4x2.8 GHz Kryo 385 + 4x1.8 GHz Kryo 385,402 ppi Very high density,6.28,Qualcomm Snapdragon 845,1080 x 2280 px,Amoled,75.4 mm  155.7 mm  7.8 mm,83%,177 g,19:09
OnePlus,OnePlus 7 Pro,710,//cdn-files.kimovil.com/phone_front/0003/08/thumb_207554_phone_front_x_small.jpeg,On Sale,8.4,6.9,8.6,9.2,8.4,9.1,0,1x2.84 GHz Kryo 485 + 3x2.4 GHz Kryo 485 + 4x1.8 GHz Kryo 485,515 ppi Very high density,6.67,Qualcomm Snapdragon 855,1440 x 3120 px,Amoled,75.9 mm  162.6 mm  8.8 mm,88%,206 g,19.5:9
OnePlus,OnePlus 7,562,//cdn-files.kimovil.com/phone_front/0003/09/thumb_208601_phone_front_x_small.jpeg,On Sale,8.1,6.3,8.3,8.6,8.4,8.9,0,1x2.84 GHz Kryo 485 + 3x2.4 GHz Kryo 485 + 4x1.8 GHz Kryo 485,403 ppi Very high density,6.41,Qualcomm Snapdragon 855,1080 x 2340 px,Amoled,74.8 mm  157.7 mm  8.2 mm,85%,182 g,19.5:9
OnePlus,OnePlus 7T,574,//cdn-files.kimovil.com/phone_front/0003/55/thumb_254189_phone_front_x_small.jpeg,On Sale,8.3,6.5,8.6,8.8,8.7,8.8,0,1x 2.96 GHz Kryo 485,402 ppi Very high density,6.55,Qualcomm Snapdragon 855 Plus,1080 x 2340 px,Amoled,74.4 mm  160.9 mm  8.1 mm,86%,190 g,20:09
OnePlus,OnePlus 7T Pro,733,//cdn-files.kimovil.com/phone_front/0003/61/thumb_260312_phone_front_x_small.jpeg,On Sale,8.5,7.5,8.6,9,8.8,8.8,0,1x 2.96 GHz Kryo 485,516 ppi Very high density,6.67,Qualcomm Snapdragon 855 Plus,1440 x 3120 px,Amoled,75.9 mm  162.6 mm  8.8 mm,88%,206 g,19.5:9
OnePlus,OnePlus 8 Pro,885,//cdn-files.kimovil.com/phone_front/0004/52/thumb_351411_phone_front_x_small.jpeg,On Sale,9,8.1,9,9.4,9,9.3,0,Kryo 585 1x Cortex,513 ppi Very high density,6.78,Qualcomm Snapdragon 865,1440 x 3168 px,Amoled,74.4 mm  165.3 mm  8.5 mm,90%,199 g,20:09
OnePlus,OnePlus 8,676,//cdn-files.kimovil.com/phone_front/0004/52/thumb_351410_phone_front_x_small.jpeg,On Sale,8.7,7.8,8.6,9.1,9,9.2,0,Kryo 585 1x Cortex,402 ppi Very high density,6.55,Qualcomm Snapdragon 865,1080 x 2400 px,Amoled,72.9 mm  160.2 mm  8.0 mm,88%,180 g,20:09
Google,Google Pixel,122,//cdn-files.kimovil.com/phone_front/0001/40/thumb_39851_phone_front_x_small.jpeg,On Sale,6.3,4,7.4,5.7,6.9,7.7,0,Dual cluster Kryo 2x2.15GHz + 2x1.6GHz,424 ppi Very high density,5,Qualcomm Snapdragon 821 2.15GHz,1080 x 1920 px,Amoled,69.5 mm  143.8 mm  8.6 mm,69%,143 g,16:09
Google,Google Pixel XL,121,//cdn-files.kimovil.com/phone_front/0001/40/thumb_39854_phone_front_x_small.jpeg,On Sale,6.8,6,7.4,6,6.9,7.7,0,Dual cluster Kryo 2x2.15GHz + 2x1.6GHz,534 ppi Very high density,5.5,Qualcomm Snapdragon 821 2.15GHz,1440 x 2560 px,Amoled,75.7 mm  154.7 mm  8.6 mm,71%,168 g,16:09
