brand,phone_name,phone_price,phone_image,available_status,average_rating,battery_rating,camera_rating,connectivity_rating,performance_rating,design_rating,user_rating,battery,cpu,density,diagonal,front_camera,main_camera,os,os_version,processor_model,ram,resolution,screen_type,size,storage,usable_surface,weight,aspect_ratio
Huawei,Huawei Nova 7 Pro,680,//cdn-files.kimovil.com/phone_front/0004/56/thumb_355433_phone_front_x_small.jpeg,Presell,8.3,7.3,8.9,8.6,8.4,8.5,0,4000 mAh,2.58 GHz ARM Cortex,392 ppi High Density,6.57,32 Mpx/2.2,64 Mpx/1.8,Android 10Q,Android 10,Huawei HiSilicon KIRIN 985,8 GB RAM,1080 x 2340 px,Oled,73.7 mm  160.4 mm  8.3 mm,128 GB,89%,178 g,19.5:9
Huawei,Huawei Nova 7,550,//cdn-files.kimovil.com/phone_front/0004/56/thumb_355407_phone_front_x_small.jpeg,Presell,8.4,7.3,9.2,8.6,8.4,8.3,0,4000 mAh,2.58 GHz ARM Cortex,403 ppi Very high density,6.53,32 Mpx/2.0,64 Mpx/1.8,Android 10Q,Android 10,Huawei HiSilicon KIRIN 985,8 GB RAM,1080 x 2400 px,Oled,74.3 mm  160.6 mm  8.0 mm,128 GB,86%,180 g,20:09
Huawei,Huawei nova 7 SE,450,//cdn-files.kimovil.com/phone_front/0004/56/thumb_355492_phone_front_x_small.jpeg,Presell,7.8,7.3,8.6,7.6,8.2,7.4,0,4000 mAh,"1xARM Cortex A76 2,36GHz +3xARM Cortex A76 2,22GHz +4xCortex",405 ppi Very high density,6.5,16 Mpx/2.0,64 Mpx/1.8,Android 10Q,Android 10,Huawei HiSilicon KIRIN 820,8 GB RAM,1080 x 2400 px,LCD,75.0 mm  162.3 mm  8.6 mm,128 GB,83%,189 g,20:09
Xiaomi,Xiaomi Redmi Note,130,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1614_phone_front_x_small.jpeg,On Sale,3.8,5.3,3.9,4.4,3.1,2.3,0,3200 mAh,ARM Cortex,267 ppi Medium Density,5.5,5 Mpx/--,12.8 Mpx/2.2,Android 4.4KitKat,Android 4.4.2 KitKat,Qualcomm Snapdragon 400 MSM8928,2 GB RAM,720 x 1280 px,LCD IPS,78.7 mm  154.0 mm  9.5 mm,8 GB,68%,189 g,16:09
Xiaomi,Xiaomi Redmi Note 2,113,//cdn-files.kimovil.com/phone_front/0001/27/thumb_26534_phone_front_x_small.jpeg,On Sale,4.9,4.1,5.7,5.8,4.3,4.4,0,3060 mAh,ARM Cortex,401 ppi Very high density,5.5,5 Mpx/--,13 Mpx/2.2,Android 5.0Lollipop,MIUI V7 (Android 5.0.2 Lollipop),MediaTek Helio X10 2.0 (MT6795),2 GB RAM,1080 x 1920 px,LCD IPS,76.0 mm  152.0 mm  8.3 mm,16 GB,72%,160 g,16:09
Xiaomi,Xiaomi Mi4c,122,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5524_phone_front_x_small.jpeg,On Sale,5.7,5.1,6.4,5.5,5.3,6.4,0,3080 mAh,Quad,441 ppi Very high density,5,5 Mpx/--,13 Mpx/2.0,Android 7.0Nougat,MIUI V8 (Android 7.0),Qualcomm Snapdragon 808 MSM8992,2 GB RAM,1080 x 1920 px,LCD IPS,69.6 mm  138.1 mm  7.8 mm,16 GB,71%,132 g,16:09
Xiaomi,Xiaomi Mi4S,128,//cdn-files.kimovil.com/phone_front/0001/09/thumb_8183_phone_front_x_small.jpeg,On Sale,5.5,5.5,5.1,6.2,5.1,5.5,0,3260 mAh,Quad,441 ppi Very high density,5,5 Mpx/--,13 Mpx/2.0,Android 5.0Lollipop,Miui V7 (Android 5.1.1 Lollipop),Qualcomm Snapdragon 808 MSM8992,3 GB RAM,1080 x 1920 px,LCD IPS,70.8 mm  139.3 mm  7.8 mm,64 GB,70%,133 g,16:09
Xiaomi,Xiaomi Redmi 3S,117,//cdn-files.kimovil.com/phone_front/0001/28/thumb_27431_phone_front_x_small.jpeg,On Sale,5.2,6.9,5.5,5.3,4.2,4.2,0,4100 mAh,4x1.4GHz ARM Cortex A53 + 4x1.1GHz ARM Cortex,294 ppi Medium Density,5,5 Mpx/--,13 Mpx/2.0,Android 6.0Marshmallow,MIUI V8 (Android 6.0.1 Marshmallow),Qualcomm Snapdragon 430 MSM8937,2 GB RAM,720 x 1280 px,LCD IPS,69.6 mm  139.3 mm  8.5 mm,16 GB,71%,144 g,16:09
Xiaomi,Xiaomi Redmi Note 4,169,//cdn-files.kimovil.com/phone_front/0001/35/thumb_34632_phone_front_x_small.jpeg,On Sale,6.4,7.5,6.4,6.3,5.7,6.2,0,4100 mAh,ARM Cortex,401 ppi Very high density,5.5,5 Mpx/--,13 Mpx/2.0,Android 7.0Nougat,MIUI V9.5 (Android 7.1),Qualcomm Snapdragon 625 MSM8953,3 GB RAM,1080 x 1920 px,LCD IPS,76.0 mm  151.0 mm  8.4 mm,32 GB,72%,165 g,16:09
Xiaomi,Xiaomi Mi5s Plus,256,//cdn-files.kimovil.com/phone_front/0001/40/thumb_39106_phone_front_x_small.jpeg,On Sale,6.7,6.5,7.1,6.9,6.9,5.9,0,3800 mAh,Dual cluster Kryo 2x2.35GHz + 2x1.6GHz,386 ppi High Density,5.7,4 Mpx/2.0,13 Mpx/2.2,Android 7.0Nougat,MIUI V9 (Android 7.1 Nougat),Qualcomm Snapdragon 821 2.35GHz,4 GB RAM,1080 x 1920 px,LCD IPS,77.7 mm  154.6 mm  8.0 mm,64 GB,74%,168 g,16:09
