average_rating,battery_rating,brand,camera_rating,connectivity_rating,design_rating,performance_rating,phone_image,phone_name,user_rating
3.3,2.8,Huawei,3.9,4.3,3.1,2.5,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6048_phone_front_medium.jpeg,Huawei Y6,0
4.4,7.4,Huawei,4.6,3.9,2.6,3.6,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6103_phone_front_medium.jpeg,Huawei Enjoy 5,0
4.6,4.5,Huawei,4.8,4.6,5.5,3.8,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5272_phone_front_medium.jpeg,Huawei Honor Shot X,0
7.0,6.7,Huawei,7.3,8.1,6.6,6.5,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6840_phone_front_medium.jpeg,Huawei Mate 8,0
4.8,4.0,Huawei,5.9,5.2,5.2,3.7,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6263_phone_front_medium.jpeg,Huawei Ascend G7 Plus,0
2.7,1.9,Huawei,2.6,2.8,2.7,3.3,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6693_phone_front_medium.jpeg,Huawei G629,0
3.7,2.3,Huawei,4.5,3.8,4.1,3.7,//cdn-files.kimovil.com/phone_front/0001/08/thumb_7262_phone_front_medium.jpeg,Huawei Enjoy 5S,0
4.6,3.9,Huawei,7.1,3.6,4.1,4.4,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6515_phone_front_medium.jpeg,Huawei Maimang 4,0
4.2,7.4,Huawei,4.5,2.8,2.6,3.6,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5841_phone_front_medium.jpeg,Huawei Y6 Pro,0
4.5,7.4,Huawei,4.5,3.9,3.1,3.7,//cdn-files.kimovil.com/phone_front/0002/49/thumb_148893_phone_front_medium.jpeg,Huawei Honor Holly 2 Plus,0
5.3,4.6,Huawei,6.1,5.2,5.2,5.2,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220822_devicerender_small.jpeg,Huawei P9 Lite,0
4.6,3.9,Huawei,4.5,5.6,4.6,4.2,//cdn-files.kimovil.com/phone_front/0001/66/thumb_65117_phone_front_medium.jpeg,Huawei GR5,0
6.6,5.8,Huawei,7.0,7.9,5.7,6.4,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220423_devicerender_small.jpeg,Huawei P9 Plus,0
6.2,4.4,Huawei,7.0,6.7,6.6,6.5,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220954_devicerender_small.jpeg,Huawei P9,0
4.5,7.4,Huawei,4.5,4.3,2.6,3.8,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220355_devicerender_small.jpeg,Huawei Honor 4C Pro,0
4.5,4.6,Huawei,4.6,3.6,4.9,5.0,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220353_devicerender_small.jpeg,Huawei Honor 5C,0
6.7,5.9,Huawei,7.0,7.8,6.3,6.4,//cdn-files.kimovil.com/phone_front/0001/23/thumb_22361_phone_front_medium.jpeg,Huawei Honor V8,0
3.1,2.9,Huawei,3.3,2.7,4.0,2.6,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220949_devicerender_small.jpeg,Huawei Ascend Y5 II,0
4.9,4.1,Huawei,6.1,4.7,5.0,4.5,//cdn-files.kimovil.com/phone_front/0001/16/thumb_15035_phone_front_medium.jpeg,Huawei G9 Lite,0
