brand,phone_name,phone_image,average_rating,battery_rating,camera_rating,connectivity_rating,design_rating,performance_rating,user_rating,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,platform_os,platform_cpu,memory_card_slot,memory_internal,main_camera_single,main_camera_video,sound_loudspeaker,sound_jack,comms_wlan,comms_bluetooth,comms_gps,comms_radio,comms_usb,features_sensors,battery,battery_talk_time,misc_colors,misc_price,network_3g_bands,network_speed,battery_stand-by
Huawei,Huawei Ascend Y550,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1889_phone_front_medium.jpeg,2.7,2.3,2,4.3,2.2,2.5,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - all versions,Yes,Yes,"2014, September","Available. Released 2014, November",133 x 68 x 9.5 mm (5.24 x 2.68 x 0.37 in),153 g (5.40 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.4.2 (KitKat); EMUI 2.3,Quad-core 1.2 GHz Cortex-A53,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM","5 MP, AF",720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 2000 mAh battery,-,"Black, White",130,HSDPA 900 / 2100 - Y550-L01,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",-
Huawei,Huawei Ascend Mate7,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1759_phone_front_medium.jpeg,6.3,8.2,5.9,7.3,5.2,4.7,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, September","Available. Released 2014, October",157 x 81 x 7.9 mm (6.18 x 3.19 x 0.31 in),185 g (6.53 oz),Micro-SIMHybrid Dual SIM (Micro-SIM/Nano-SIM) - MT7-TL10,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 98.7 cm (~77.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~368 ppi density)","Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow); EMUI 3.1",Octa-core (4x1.8 GHz Cortex-A15 & 4x1.3 GHz Cortex-A7),"microSD, up to 256 GB (uses shared SIM slot)","16 GB, 2 GB RAM/ 32 GB, 3 GB RAM","13 MP, f/2.0, 28mm (wide), AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB Host","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4100 mAh battery,-,"Obsidian black, Moonlight silver, Amber gold",340,HSDPA 850 / 900 / 1700 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps",Up to 648 h (3G)
Huawei,Huawei Ascend G535,//cdn-files.kimovil.com/phone_front/0001/05/thumb_4134_phone_front_medium.jpeg,2.3,2.4,2,2.9,2.3,2,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, Q3","Available. Released 2014, Q3",131 x 65.3 x 7.9 mm (5.16 x 2.57 x 0.31 in),145 g (5.11 oz),Micro-SIM,"Capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~65.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.3 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM",5 MP,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Ion 2000 mAh battery,Up to 12 h (3G),"Black, White",110,HSDPA 900 / 2100,"HSPA, LTE Cat4 150/50 Mbps",Up to 370 h (3G)
Huawei,Huawei Ascend Y540,//cdn-files.kimovil.com/phone_front/0001/04/thumb_3671_phone_front_medium.jpeg,2.2,2.7,2,1.9,2.1,2.1,0,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, February","Available. Released 2015, February",134.2 x 67 x 10.3 mm (5.28 x 2.64 x 0.41 in),-,Micro-SIM,"TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~62.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.4 (KitKat),Dual-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM",5 MP,720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1950 mAh battery,Up to 5 h (3G),"Black, White",110,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,Up to 300 h (3G)
Huawei,Huawei Y635,//cdn-files.kimovil.com/phone_front/0001/04/thumb_3479_phone_front_medium.jpeg,2.7,2.2,2.3,4.2,1.8,2.8,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, March","Available. Released 2015, May",144 x 72.9 x 10.2 mm (5.67 x 2.87 x 0.40 in),178 g (6.28 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~65.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat); EMUI 3,Quad-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM",5 MP,Yes,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity",Removable Li-Po 2000 mAh battery,Up to 15 h (3G),"Black, White",140,HSDPA 900 / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Up to 300 h (3G)
Huawei,Huawei P8,//cdn-files.kimovil.com/phone_front/0001/04/thumb_3900_phone_front_medium.jpeg,5.2,3.5,7.2,4.9,5.8,4.8,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, April","Available. Released 2015, April",144.9 x 72.1 x 6.4 mm (5.70 x 2.84 x 0.25 in),144 g (5.08 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS-NEO LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~71.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow); EMUI 3.1",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"microSD, up to 256 GB (uses shared SIM slot)","16/64 GB, 3 GB RAM","13 MP, f/2.0, 28mm (wide), 1.12µm, OIS, AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS/ BDS (market dependant)",FM radio,"microUSB 2.0, USB Host","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 2680 mAh battery,-,"Titanium Grey, Mystic Champagne (16 GB model)Carbon Black, Prestige Gold (64 GB model)",230,HSDPA 850 / 900 / 1700 / 1900 / 2100 - UL00,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",-
Huawei,Huawei Y625,//cdn-files.kimovil.com/phone_front/0001/04/thumb_3472_phone_front_medium.jpeg,2.4,2.3,2.6,2.8,2.3,2,0,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, April","Available. Released 2015, April",142 x 72.6 x 9.6 mm (5.59 x 2.86 x 0.38 in),160 g (5.64 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat); EMUI Lite 2.3,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM","8 MP, AF",720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",Removable Li-Po 2000 mAh battery,Up to 7 h 30 min (2G) / Up to 8 h 20 min (3G),"Black, White",130,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,Up to 310 h (2G) / Up to 250 h (3G)
Huawei,Huawei Mate S,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5527_phone_front_medium.jpeg,5.9,3.5,7.1,7.1,6.9,5,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September","Available. Released 2015, October",149.8 x 75.3 x 7.2 mm (5.90 x 2.96 x 0.28 in),156 g (5.50 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~73.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow); EMUI 3.1",Octa-core (4x2.2 GHz & 4x1.5 GHz),"microSD, up to 256 GB (uses shared SIM slot)","32/64/128 GB, 3 GB RAM","13 MP, f/2.0, 28mm (wide), 1/2.6"", OIS, AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS/ BDS (market dependant)",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable 2700 mAh battery,-,"Luxurious Gold, Mystic Champagne, Titanium Grey",350,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 / TD-SCDMA - CRR-UL00,"HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps",-
Huawei,Huawei Nexus 6P,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5825_phone_front_medium.jpeg,6.6,5.7,7,7.9,6.4,5.9,0,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - all models,Yes,Yes,"2015, September","Available. Released 2015, September",159.3 x 77.8 x 7.3 mm (6.27 x 3.06 x 0.29 in),178 g (6.28 oz),Nano-SIM,"OLED capacitive touchscreen, 16M colors","5.7 inches, 88.5 cm (~71.4% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~518 ppi density)","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo)",Octa-core (4x1.55 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),No,"32/64/128 GB, 3 GB RAM","12.3 MP, f/2.0, 1/2.3"", 1.55µm, laser AF","2160p@30fps, 720p@240fps","Yes, with front stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Non-removable Li-Po 3450 mAh battery,Up to 23 h (3G),"Aluminium, Graphite, Frost",300,HSDPA 800 / 850 / 900 / 1700 / 1800 / 1900 / 2100 - Global model,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Up to 440 h (3G)
Huawei,Huawei Y6,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6048_phone_front_medium.jpeg,3.3,2.8,3.9,4.3,3.1,2.5,0,GSM / HSPA / EVDO / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 - SCL-TL00H,Yes,Yes,"2015, July","Available. Released 2015, July",143.5 x 72.1 x 8.5 mm (5.65 x 2.84 x 0.33 in),125 g (4.41 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 5.1 (Lollipop), EMUI 3.1",Quad-core 1.1 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)","8 GB, 1/2 GB RAM","8 MP, AF, f/2.0",720p@30fps,"Yes, dual speakers",Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Po 2200 mAh battery,Up to 11 h (3G),"White, Black, Gold",90,HSDPA 900 / 2100 - SCL-AL00,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Up to 300 h (3G)
