_id,aspect_ratio,available_status,average_rating,battery,battery_rating,brand,camera_rating,connectivity_rating,cpu,density,design_rating,diagonal,front_camera,main_camera,os,os_version,performance_rating,phone_image,phone_name,phone_price,processor_model,ram,resolution,screen_type,size,storage,usable_surface,user_rating,weight
5eafa66442e02aec58235263,16:09,On Sale,5.5,2800 mAh,4.2,Samsung,5.9,6.5,Krait 400,432 ppi Very high density,6.6,5.1,2 Mpx/--,16 Mpx/2.2,Android 6.0Marshmallow,Android 6.0.1 Marshmallow,4.4,//res.cloudinary.com/dgly8b9lq/image/upload/v1588541620/samsungs5_uq1teo.jpg,Samsung Galaxy S5,216,Qualcomm Snapdragon 801 MSM8974AC,2 GB RAM,1080 x 1920 px,Super Amoled,72.5 mm  142.0 mm  8.0 mm,16 GB,69%,0,145 g
5eafa66442e02aec58235209,19.5:9,On Sale,7.5,4000 mAh,7.4,Huawei,7.9,6.9,ARM V8,412 ppi Very high density,7.4,6.26,32 Mpx/2.0,48 Mpx/1.8,Android 9.0P,Android 9.0 Pie,7.8,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430830/Huawei_nova_5z_zxvh2q.jpg,Huawei nova 5z,234,Huawei HiSilicon KIRIN 810,6 GB RAM,1080 x 2340 px,Amoled,73.9 mm  156.1 mm  8.3 mm,64 GB,83%,0,178 g
5eafa66442e02aec58235278,18:09,On Sale,7.4,3000 mAh,5.2,Samsung,7.5,8.2,4x2.3 GHz Exynos M2 Mongoose+ 4x1.7 GHz ARM Cortex A53,570 ppi Very high density,8.7,5.8,8 Mpx/1.7,12.2 Mpx/1.7,Android 9.0P,Android 9.0 Pie,7.4,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430797/Samsung_Galaxy_S8_lflcjd.jpg,Samsung Galaxy S8,271,Samsung Exynos 9 Octa 8895,4 GB RAM,1440 x 2960 px,Super Amoled,68.1 mm  148.9 mm  8.0 mm,64 GB,84%,0,155 g
5eafa66442e02aec582352c2,19:09,On Sale,7.7,4000 mAh,6.9,Vivo,7.7,7.9,4x2.8 GHz Kryo 385 + 4x1.8 GHz Kryo 385,388 ppi High Density,8,6.59,8 Mpx/2.0,12 Mpx/1.8,Android 8.0Oreo,Funtouch 4.0 OS (Android 8.1 Oreo),8,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430803/Vivo_Nex_S_pu7tbs.png,Vivo Nex S,583,Qualcomm Snapdragon 845,8 GB RAM,1080 x 2316 px,Super Amoled,77.0 mm  162.0 mm  8.0 mm,128 GB,86%,0,199 g
5eafa66442e02aec5823530c,19:09,On Sale,6.9,3450 mAh,5.9,Oppo,7.4,6.7,4x 2.00GHz ARM Cortex A73 + 4x 2.00GHz ARM Cortex A53,402 ppi Very high density,7.5,6.28,20 Mpx/2.0,16 Mpx/1.7,Android 8.0Oreo,ColorOS 5.0 (Android 8.1 Oreo),7,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430783/Oppo_R15_howbj1.jpg,Oppo R15,258,MediaTek Helio P60 MT6771,6 GB RAM,1080 x 2280 px,Oled,75.2 mm  155.1 mm  7.4 mm,128 GB,84%,0,175 g
5eafa66442e02aec582352ff,16:09,On Sale,5.2,2850 mAh,3.6,Oppo,6.6,5,4x2.0Ghz ARM Cortex,401 ppi Very high density,6,5.5,16 Mpx/--,16 Mpx/2.0,Android 5.0Lollipop,ColorOS 3.0 (Android 5.1.1 Lollipop),5,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430782/Oppo_R9_lqqrlx.jpg,Oppo R9,167,MediaTek Helio P10 (MT6755),4 GB RAM,1080 x 1920 px,Amoled,74.3 mm  151.8 mm  6.6 mm,64 GB,74%,0,145 g
5eafa66442e02aec58235306,16:09,On Sale,5.3,3200 mAh,5,Oppo,4.5,5.8,4x 1.5 GHz ARM,401 ppi Very high density,6.2,5.5,16 Mpx/2.0,13 Mpx/2.2,Android 6.0Marshmallow,ColorOS 3.0 (Android 6.0.1 Marshmallow),5.1,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430780/Oppo_A77_ef3kmw.jpg,Oppo A77,208,MediaTek MT6750T,4 GB RAM,1080 x 1920 px,LCD IPS,75.2 mm  153.3 mm  7.3 mm,64 GB,72%,0,153 g
5eafa66442e02aec58235323,20:09,On Sale,7.5,4025 mAh,7.4,Oppo,7.8,6.5,4x Cortex A77 2.6GHz + 4x Cortex A55 2.0G,409 ppi Very high density,7.4,6.44,44 Mpx/2.4,48 Mpx/1.8,Android 10Q,ColorOS 7 (Android 10),8.3,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430784/Oppo_Reno_3_rsvgv0.jpg,Oppo Reno 3,357,MediaTek MT6885 Dimensity 1000L,8 GB RAM,1080 x 2400 px,Amoled,74.3 mm  160.3 mm  7.9 mm,128 GB,84%,0,181 g
5eafa66442e02aec58235311,NaN,On Sale,7.6,"QualcommÂ® Kryoâ¢ 360 CPU, Octa",6.3,Oppo,7.4,8.1,403 ppi Very high density,6.4,8.5,Qualcomm Snapdragon 710,1080 x 2340 px,Amoled,74.6 mm  157.6 mm  7.9 mm,85%,7.5,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430786/Oppo_RX17_Pro_pgaqvj.jpg,Oppo RX17 Pro,441,183 g,19:09,NaN,NaN,NaN,NaN,NaN,0,NaN
5eafa66442e02aec58235337,18:09,On Sale,7,3320 mAh,5.3,Nokia,7.4,7.5,4x2.8 GHz Kryo 385 + 4x1.8 GHz Kryo 385,538 ppi Very high density,7,5.99,20 Mpx/1.8,12 Mpx/1.8,Android 10Q,Android 10,7.6,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430773/Nokia_9_Pureview_nhcazk.jpg,Nokia 9 Pureview,400,Qualcomm Snapdragon 845,6 GB RAM,1440 x 2880 px,pOLED,75.0 mm  155.0 mm  8.0 mm,128 GB,79%,0,172 g
